팀,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블성공률,패스성공률,키패스,전방패스성공률,후방패스성공률,횡패스성공률,공격지역패스성공률,수비지역패스성공률,중앙지역패스성공률,롱패스성공률,중거리패스성공률,숏패스성공률,크로스성공률,탈압박,경합지상성공률,경합공중성공률,대클성공률,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
울산,조현우,GK,21,2581,0,0,0,0,0,0,0,0,0,45,0,0,0,83.4,0,0,100,100,0,83.4,100,49.4,98.8,99.6,0,0,100,0,0,15,7,5,166,0,1,0,0,2,0
울산,김기희,DF,44,983,0,1,4,2,0,2,4,0,0,16,0,1,0,90.9,2,0,97.9,97.9,68.4,87.3,95,71.6,94.6,94.2,33.3,0,72.7,390.9,25,44,14,36,66,3,2,7,3,1,1
울산,김태환,DF,23,2294,1,4,5,2,1,2,1,4,2,18,1,202,46.2,78.2,27,0,98.8,78.4,66.4,80.5,86.1,45.8,75.6,86.9,19.2,1,56,17.3,83.3,22,33,58,190,6,6,37,27,5,0
울산,데이비슨,DF,3,382,0,0,4,0,1,3,2,2,0,4,0,33,0,75.7,2,0,98.5,78.1,66.2,65.1,84.9,41.7,73.4,86.7,22.7,0,62.5,100,60,11,4,25,31,1,1,8,1,1,0
울산,박주호,DF,6,857,0,0,1,1,0,0,0,1,0,10,0,50,0,86.8,3,0,98.7,91.5,73.1,83.5,92.8,56,82.4,93,21.1,0,51.9,51.9,100,13,10,36,79,2,2,18,16,1,0
울산,불투이스,DF,4,1872,0,0,11,3,2,6,8,3,0,26,0,1,100,89.5,1,0,98.6,98.1,56.2,92.4,89.1,65.2,93.2,93.9,20,0,75,228.1,57.5,69,36,100,102,10,2,23,6,5,1
울산,설영우,DF,66,520,0,0,1,0,0,1,1,0,0,12,0,46,0,82.9,1,0,100,89.9,74.4,75,87.8,58.1,77.6,88.9,10,1,59.1,27.3,100,15,9,20,59,1,2,4,16,1,0
울산,정동호,DF,2,97,0,0,1,0,0,1,0,1,0,0,0,4,0,77.3,0,0,100,92,75,71.4,80.6,41.7,87.5,84.2,50,0,75,25,0,1,3,2,13,0,0,1,2,0,0
울산,정승현,DF,15,2196,2,0,11,4,0,7,10,1,1,42,0,6,0,88.4,1,0,97.4,97.4,64.1,86.3,91.1,65.8,91.5,93.6,33.3,0,61.3,287.1,52.4,91,43,106,127,19,3,30,17,5,0
울산,홍철,DF,32,934,0,4,2,1,0,1,1,1,0,16,11,64,70,81.9,13,0,99.5,82.2,72.7,80.1,88.9,56.9,79.3,90.2,30.5,0,44.1,32.4,50,17,20,42,75,3,7,8,7,1,0
